id,conversation_type,prompt,answer,source,word_count
math_086,math,"Oprah has 3500 cars in her collection. If the average number of cars she gives away per year is 50, how many years will it take to reduce her car collection to 500?",60,gsm8k,33
math_087,math,"There are 11 boys and 13 girls in a class. If 1 boy is added to the class, what percentage of the class are girls?",52,gsm8k,25
math_088,math,"Paul is collecting license plates from different states. He has plates from 40 different states. For each percentage point of total US states that he has, his parents will give him $2. How much does he earn from them?",160,gsm8k,39
math_089,math,Matt did his homework for 150 minutes. He spent 30% of that time on math and 40% on science. He spent the remaining time on other subjects. How much time did Matt spend on homework in other subjects?,45,gsm8k,38
math_090,math,"A store transports fresh vegetables in crates and cartons using its delivery truck. One crate of vegetables weighs 4 kilograms and one carton 3 kilograms. How much will a load of 12 crates, and 16 cartons of vegetables weigh?",96,gsm8k,39
math_091,math,Jerry is making cherry syrup. He needs 500 cherries per quart of syrup. It takes him 2 hours to pick 300 cherries and 3 hours to make the syrup. How long will it take him to make 9 quarts of syrup?,33,gsm8k,41
math_092,math,"Stacy, Steve and Sylar have 1100 berries total. Stacy has 4 times as many berries as Steve, and Steve has double the number of berries that Skylar has. How many berries does Stacy have?",800,gsm8k,34
math_093,math,"Johnny wrote an essay with 150 words. Madeline wrote an essay that was double in length, and Timothy wrote an essay that had 30 words more than Madeline's. If one page contains 260 words, how many pages do Johnny, Madeline, and Timothy's essays fill?",3,gsm8k,44
math_094,math,"Hannah is trying to figure out how much she'll get paid this week. She makes $30/hour and works 18 hours per week. Her pay is docked $5 each time she's late. If she was late 3 times this week, how much does she get paid?",525,gsm8k,45
math_095,math,Tonya is in a hamburger eating contest. Each hamburger is 4 ounces. Last year the winner ate 84 ounces. How many hamburgers does she have to eat to beat last year's winner?,22,gsm8k,32
math_096,math,Mark is injured so decides to spend more time reading. He used to read 2 hours a day but increased that by 150%. Before he read 100 pages a day. How many pages does he read a week now?,1750,gsm8k,39
math_097,math,"The perimeter of a triangle is 160 cm. If two of the sides are 40 cm and 50 cm, calculate the length of the third side?",70,gsm8k,26
math_098,math,"Steve has 25 socks. He has 4 pairs of socks that match, and all the others don't match. How many mismatching socks does Steve have altogether?",17,gsm8k,26
math_099,math,"Krishna and Callum are playing a game where they earn 10 points if they win any round. If they played eight matches and Krishna won 3/4 of the matches, what is the total number of points that Callum earned?",20,gsm8k,39
math_100,math,"Guise went to a restaurant and ate ten hot dogs on a Monday. That week, he ate two more dogs each day than the previous day. How many hot dogs had Guise eaten by Wednesday that week?",36,gsm8k,37
riddle_001,riddle,"I was shot by my wife, Than she drowned me for 20 minutes, After that she hung me for 5 minutes, 20 minutes later she took me out to dinner. How is this possible?",my wife is a photographer,riddle_sense,34
riddle_002,riddle,"I spend most of my day eating white. When I am quick enough, I get rewarded with fruit and somethings blue. In a dark room with blue walls, I run from the ghost that roam the halls. What am I?",pacman,riddle_sense,40
riddle_003,riddle,"I am small and round lying on the cold, cold ground. People come and step on me that's why I'm so cracked you see. What am I?",acorn,riddle_sense,27
riddle_004,riddle,"There was a buss with 26 people in it. Then, they decided to cross the Golden Gate Bridge. When they crossed the bridge, there was no single person left. Also, no one got out from the bus. What happened?",they all got married,riddle_sense,39
riddle_005,riddle,"I can be created by humans, but they cannot control me. I suck on wood, paper and flesh alike. I can be more of a hindrance than help. To my creators, I seem to be everywhere at once. What am I?",baby,riddle_sense,41
riddle_006,riddle,"A train pulls in alongside a crowded platform. It is precisely on schedule. The train is not full, and yet nobody boards it. All trains that stop at the platform travel to the same destinations. Why then did nobody board the train?",model train,riddle_sense,42
riddle_007,riddle,"what can be smart and dumb too,it is also very near you,it is weird and cool too,it can be feared and it needs no fuel, what am i?",brain,riddle_sense,28
riddle_008,riddle,"An explorer in Antarctica is examining some of his ice samples and during this time, he finds two frozen people. As examines them more closely he realizes that these people are Adam and Eve. how does he know this?",they have no belly button,riddle_sense,39
riddle_009,riddle,"A woman shoots her husband. Then she holds him under water for 5 minutes. Finally,she hangs him. But 5 minutes later they both go out and enjoy a wonderful dinner together. How can this be???",woman was a photographer,riddle_sense,35
riddle_010,riddle,A man was found dead out in a field of snow. The only tracks that were left was a set of footprints between two parallel lines. Who should the police be looking for?,man in wheelchair,riddle_sense,33
riddle_011,riddle,"I am slim and tall, Many find me desirable and appealing. They touch me and I give a false good feeling. Once I shine in splendor, But only once and then no more. For many I am ""to die for"". What am I?",im a cigarette,riddle_sense,43
riddle_012,riddle,"I takes you away from this world, but you're not moveing. You see and feel your adventure, but you're not seeing or feeling it. What are you doing?",reading a book,riddle_sense,28
riddle_013,riddle,"A man wants to travel to new york from miami on horse, this travel would normally take about seven days, but yet he left on tuesday and arrived on tuesday, how can this be",horses name is tuesday,riddle_sense,34
riddle_014,riddle,what am i ? I am brown all over and when people clean me out i can hear and when somebody hit me i turn red what am I?,ear,riddle_sense,29
riddle_015,riddle,"I can be long, or I can be short. I can be grown, and I can be bought. I can be painted, or left bare. I can be round, or square. What am I?",your fingernails,riddle_sense,34
riddle_016,riddle,"From house to house he goes, A messenger small and slight. And whether it rains or snows, He sleeps outside at night. What am I?",street or road,riddle_sense,25
riddle_017,riddle,"Duels of good and evil, A fighter of good am I, Revealed beside watched words, King of the black night sky. What am I ?",dark,riddle_sense,25
riddle_018,riddle,I only reflect What you don't want to see I only react When you disagree Althoughh I am often ignored Knowledge is what I tell So if you are to listen You and I will never fail!,your conscience,riddle_sense,37
riddle_019,riddle,"If you have a gameboard, a jacuzzi, a pool, a smoothie, game directions, cards, game pieces, etc. . . , what else do you need?",paradise  pair of dice ,riddle_sense,25
riddle_020,riddle,"We dwell in cottages of straw, And labour much for little gains; Sweet food from us our masters draw, And then with death reward our pains.",bee hive,riddle_sense,26
riddle_021,riddle,"So, a man was walking through the woods and he comes across a cabin. There were two people in the cabin but they were both dead and there was nobody/nothing around. How did they die?",plain crashed,riddle_sense,35
riddle_022,riddle,"I come in different shapes and sizes. Part of me are curves, others are straight. You can put me anywhere you like, but there is only one right place for me. What am I?",jigsaw puzzle piece,riddle_sense,34
riddle_023,riddle,"There was a man in a car who was shot with a bullet. There was NO sign of a break in, The windows were up and the doors were locked. How did he die?",his car was a convertable,riddle_sense,34
riddle_024,riddle,Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through my see through clothes. Used up am I; I've gone to pot. What am I?,im a tea bag,riddle_sense,30
riddle_025,riddle,"He has one and a person has two, a citizen has three and a human being has four, a personality has five and an inhabitant of earth has six. What am I?",syllables,riddle_sense,32
riddle_026,riddle,"a man is running, though he dares not go home for there is a man in a mask that waits for him. what is going on",they are playing baseball,riddle_sense,26
riddle_027,riddle,"I am, in truth, a yellow fork From tables in the sky By inadvertent fingers dropped The awful cutlery. Of mansions never quite disclosed And never quite concealed The apparatus of the dark To ignorance revealed.",lightning emily dickinson,riddle_sense,36
riddle_028,riddle,"if someone said theyd go to your house and order chicken wings and pay for them, what are you likely gonna do while eating them?",sit down inless your wierd   ,riddle_sense,25
riddle_029,riddle,"a man walked into a bath room with a real loaded gun and real bullets loaded in,he shot him self in betwen the eyes and lived!how did he do it and no,he's not superman or he didnt miss.",he shot his reflection,riddle_sense,38
riddle_030,riddle,"There is a three digit number the second digit is four times as big as the third digit, while the first digit is three less than the second digit what is the number?",141,riddle_sense,33
riddle_031,riddle,"I have no bed to sleep nor do I have a palace to live. I don't have a single penny with me, but still I am known to be a king. Who am I?",king of jungle  lion,riddle_sense,34
riddle_032,riddle,there once was a man from peru who kicked and ate at his shoe he went down to the docks and took off his socks and ask the fish a question what was the question?,how doyoubreath underwater,riddle_sense,35
riddle_033,riddle,"I can talk, but i have no feet, I am very useful,but sometimes hard to get, your fried might have me, so will bussiness people What am I??",cell phone ,riddle_sense,28
riddle_034,riddle,"I lead the way into the unknown, and bring strength where there is fear. I am the creator of invention, and the maker of all adventure. What am I?",curiosity imagination,riddle_sense,29
riddle_035,riddle,"Count the ""F's"" in the following text: FINISHED FILES ARE THE RE- SULT OF YEARS OF SCIENTIF- IC STUDY COMBINED WITH THE EXPERIENCE OF YEARS . . .",there are 6,riddle_sense,28
riddle_036,riddle,"I can wear a ring, i help you hear, they arent really noticable, i can be big or small, i can come in weird shaped, i have a drum inside of me. WHAT AM I?",earlob ear dahhhhh,riddle_sense,35
riddle_037,riddle,"Captain Kirk of Star Trek has the usual left ear and right ear, but he also has a third ear. What is his third ear called?",final front ear,riddle_sense,26
riddle_038,riddle,"yesterdqy i wasn't here , today i'm here , tomorrow i'll be absent too . and perhaps i'll see once a week ! zho i'm i ?",im today ,riddle_sense,27
riddle_039,riddle,"Play my music, if you dare. Turn my crank, although I'm square. Stand back, or get a scare, when you see my surprising glare. What am I?",jackinthebox,riddle_sense,27
riddle_040,riddle,I am the center of gravity and the start of all views. I am in lives but not in deaths. I am similar to see even though I am less than three,v,riddle_sense,32
riddle_041,riddle,"A man is in his car. He sees three doors; a golden one, a diamond one and a silver one. Which door does he go through first?",his car door,riddle_sense,27
riddle_042,riddle,"You ponder me in your mind, I grow stronger with time And weaker all the while. I drive you crazy In your mind that's hazy. I'm a magnet to thought And a shade to your eyes, Now what am I?",riddle or question,riddle_sense,40
riddle_043,riddle,"On my way to St. Ives I met a man with seven wives,the seven wives had seven kids, the kids had seven cats, the cats had seven kittens, the kittens had seven mice. How many people/animals were traveling to St. Ives?",oneme ,riddle_sense,41
riddle_044,riddle,Every thing is nothing of every thing. Any thing is every thing of nothing. I am every thing of nothing. I am nothing of any thing. There is but one thing I am. But every thing I am not.,every thing with out something,riddle_sense,39
riddle_045,riddle,I went across the london Bridge to see me sister Sally. I tipped my hat and drew my cane now tell me what is my name??,andrew mycane,riddle_sense,26
riddle_046,riddle,"What book was once owned by only the wealthy, but now everyone can have it? You can't buy it in a bookstore or take it from a library.",telephone book,riddle_sense,28
riddle_047,riddle,"There is a boy and his dad who had a crash. The dad died. The son was survierely injured. When he was about to be oporated on the doc. said ""I can't oporate on him 'cause he is my son. "" How?",doc was his mom,riddle_sense,42
riddle_048,riddle,one day one man on a horse went into a town on a sunday and he was there for 4 days and he went back on wednsday and goes home how is that?,horse is called wednsday,riddle_sense,33
riddle_049,riddle,Your the bus driver. On Mondays everyone wears a hat. On Tuesday everyone wears pink. On Wednesday everyone wear pink polka dotted dressed even the guys. On Thursdays and Fridays you only pick up one stop. Whats the bus drivers name?,your the bus driver,riddle_sense,41
riddle_050,riddle,"You might love me in summer but I never like the sun . The hotter the weather , the softer I get . What am I ?",ice  cream,riddle_sense,27
riddle_051,riddle,I'm between 1 and 1000. I'm a three digit number. I have a five in me. I'm almost half of 1000 What number am I ?,is under 500  495,riddle_sense,26
riddle_052,riddle,"A man and his son was in an accident. They were taken to separate hospitals. The surgeon at the boy's hospital said ""I can't operate on him, he is my son. "" How can this be?",surgeon is boys mom,riddle_sense,36
riddle_053,riddle,A runner ran a distance and turnned left. He ran the same distance and made another left. He ran the same distance again and made a left. When he came home there were two masked men. Who were the masked men?,cater and umpire,riddle_sense,41
riddle_054,riddle,I sail the seas for money As I attack anothers ship Then I take the spoils of the battle The enemy is in my grip What am I?,pirate,riddle_sense,28
riddle_055,riddle,"It is Cold and it is Hot, It is White and it is Dark, It is Stone and it is Wax, Its true nature is Flesh, And its color is Red. What am I?",human heart,riddle_sense,34
riddle_056,riddle,"I suck at writing riddles. Everyone hates my riddles. No one get's my riddles, and I laugh at myself when I don't know what people are talking about, and they are laughing at me. Who am I?",riddlerhe sucks at doing riddles,riddle_sense,37
riddle_057,riddle,there is a man standing on a bridge and there is no cars coming and nothing abnormal is happening . hejumps off. why did this man suddenly jump off the bridge,he was a bungee jumper,riddle_sense,31
riddle_058,riddle,"What is shaped like a boot, What has the best spaghetti, What is famous for their capital, What starts with an I an ends with a y",italy,riddle_sense,27
riddle_059,riddle,"a boy found 3 pices of gold each pices whieght was 3 pounds and the boy came to a bridge and a sign said 82 pounds only ,the boys whieght is 76 pounds how can he go arcoss the bridge safely?",he make two trips,riddle_sense,41
riddle_060,riddle,There were an electrician and a plumber waiting in line for admission to the Home Show. One of them was the father of the other's son. How could this be possible?,they were a husbandwife pair,riddle_sense,31
riddle_061,riddle,A boat tips over and there are three men in it. All three men go all the way under water but only two get their hair wet. Why?,one is bald,riddle_sense,28
riddle_062,riddle,A 16-year-old boy was driving a moped down a one-way street in the wrong direction. A policeman stopped him and gave him a ticket. The policeman paid the ticket himself. What is a logical explanation for this?,boy was policemans son,riddle_sense,37
riddle_063,riddle,"Sunday was a dog. The dog was brown. The cage was brown. The dog saw a figure with a head,tail, brown but no legs. What was the figure he saw?",penny,riddle_sense,30
riddle_064,riddle,"A cowboy was riding on a horse to a ghost town on Wednesday. He stayed at the ghost town for five days. On the fifth day, he left on Friday. How is this possible?",horse was named friday,riddle_sense,34
riddle_065,riddle,"I am a basic form of life Over time, I can destroy rock I may or may not produce poison And I support all life in 2 ways. What am I?",plants,riddle_sense,31
riddle_066,riddle,"Look at me. I can bring a smile to your face, a tear to your eye, or a thought to your mind. But, I can't be seen. What am I?",your memories,riddle_sense,30
riddle_067,riddle,"Two men standing together, one says, ""Brothers and sisters have I none, but this man's father is my father's son. "" How are they related?",two men are father  son,riddle_sense,25
riddle_068,riddle,"When touched I'm cold and I smear, when smelled I'm toxic, when viewed at I am like them, to some I am a deadly tool to get out of, what am I?",marker,riddle_sense,32
riddle_069,riddle,"Double my number, I'm less than a score, half of my number is less than four. Add one to my double when bakers are near, days of the week are still greater, I fear. What am I?",number six,riddle_sense,37
