id,conversation_type,prompt,answer,source,word_count
math_051,math,"A singer is planning on releasing 3 songs in a month. If he worked on one song for 10 hours a day, and each song took 10 days to be completed, calculate the total number of hours he took to complete the 3 songs.",300,gsm8k,44
math_052,math,Each week Jaime saves $50. Every two weeks she spends $46 of her savings on a nice lunch with her mum. How long will it take her to save $135?,5,gsm8k,30
math_053,math,John bought a tennis racket. He also bought sneakers that cost $200 and a sports outfit that cost $250. He spent a total of $750 for all those items. What was the price of the racket?,300,gsm8k,36
math_054,math,"A hairstylist charges $5 for a normal haircut, $6 for a special haircut, and $8 for a trendy haircut. If he cuts 5 normal haircuts, 3 special haircuts, and 2 trendy haircuts per day, how much money does he earn per week?",413,gsm8k,42
math_055,math,"There is three less than four times the number of students in Elementary School as there are in Middle School. If the number of students in Middle school is 50, calculate the total number of students in both levels.",247,gsm8k,39
math_056,math,"Aubrey has a deck of cards with 52 cards in it. She then adds two additional cards to the deck. If she splits the deck evenly among herself and two other players, how many cards does each player have?",18,gsm8k,39
math_057,math,"Steve finds 100 gold bars while visiting Oregon. He wants to distribute his gold bars evenly to his 4 friends. If 20 gold bars were lost on the way back to San Diego, how many gold bars will each of his 4 friends get when he returns?",20,gsm8k,47
math_058,math,"Carrie harvested 200 tomatoes and 350 carrots on her farm. If she can sell a tomato for $1 and a carrot for $1.50, how much money can she make if she sells all of her tomatoes and carrots?",725,gsm8k,38
math_059,math,"Roger bought a house for $100,000. He was able to pay 20% down, and his parents paid off an additional 30% of the remaining balance. How much money does Roger still owe on his house?",56000,gsm8k,35
math_060,math,"Peter has a plan to take his family on a vacation to Germany. He needs $5,000 to cover all the spending for the travel, and he has $2,900 in savings right now. If he can save up $700 each month, how many months does he need to wait to reach his goal?",3,gsm8k,52
math_061,math,"In a Zoo, there are different animals. There are 5 giraffes and twice as many penguins. Penguins make up 20% of all the animals in the Zoo. How many elephants are there in the Zoo if they make up 4% of all the animals?",2,gsm8k,44
math_062,math,Harry has 50 books in his library. His sister Flora has twice as many books and their cousin Gary has half the books Harry has. How many books do the three of them own together?,175,gsm8k,35
math_063,math,"At a laundromat, it costs $4 for a washer and a quarter for every 10 minutes in the dryer. Samantha does 2 loads of laundry in the wash and then divides all the washed clothes equally into 3 separate dryers. If she lets the dryers run for 40 minutes each, how much does she spend altogether?",11,gsm8k,56
math_064,math,"One of the activities in Grade 6 PE class is to get the average weight of the students from each group. In one of the groups, the average weight of five girls is 45 kg while the average weight of five boys is 55 kg. What is the average weight of the ten students from that group?",50,gsm8k,57
math_065,math,There are 4 trains waiting at a train station and each train has 4 carriages. Each carriage has 3 rows of wheels and the rows of wheels have 5 wheels each. How many wheels are at the train station?,240,gsm8k,39
math_066,math,"Twice Betty's age is the cost of a pack of nuts. Doug, Betty's friend, is 40 years old. If the sum of their ages is 90, and Betty wants to buy 20 packs of the nuts, calculate the amount of money she'll pay for the packs of nuts.",2000,gsm8k,48
math_067,math,"Jerry is refilling the duck pond in his backyard during a drought. The pond can hold 200 gallons of water. Jerry's hose can normally pump 6 gallons/minute, but due to drought restrictions, it can only pump 2/3rds as fast right now. How many minutes will it take Jerry to fill his pond?",50,gsm8k,52
math_068,math,"Cara is at her family reunion, where she discovers that she is 20 years younger than her mom. Her mom is 15 years younger than Cara's Grandmother. If Cara's grandmother is 75, how old is Cara?",40,gsm8k,36
math_069,math,"Hector purchased a container of gumballs. He gave 4 to Todd, then he gave twice as many as he had given Todd to Alisha, and then he gave 5 less than four times as many to Bobby as he had given to Alisha. If Hector had 6 gumballs remaining, what is the total number of gumballs that Hector purchased?",45,gsm8k,59
math_070,math,"A couple opened a savings account. The husband gives $335 every week while the wife gives $225 every week. After 6 months of saving (assume 4 weeks in each month), they decided to divide half of the couple's savings into their four children's savings accounts. How much does each child receive?",1680,gsm8k,51
math_071,math,"Three companies, A, B, and C, each purchased 10 ad spaces on a newspaper, with each ad space having a size of 12 foot by 5-foot rectangle. If each square foot ad was charged at $60, how much money did the three pay for the ads combined?",108000,gsm8k,47
math_072,math,"Five months ago, Mike earned 10 times more money than Fred. If his salary has increased by 40 percent now, and Fred's salary then was $1000, calculate Mike's salary now.",15400,gsm8k,30
math_073,math,"Jack has a stack of books that is 12 inches thick. He knows from experience that 80 pages is one inch thick. If he has 6 books, how many pages is each one on average?",160,gsm8k,35
math_074,math,Max attended 40 college courses in 2 years. Sid attended four times as many college courses as Max in the same period. What's the total of college courses they both attended?,200,gsm8k,31
math_075,math,"Hansel has a created album on Spotify that contains 25 songs and each song is 3 minutes long. If she adds 10 more songs to the album with the same duration, how many minutes will it take her to finish all the songs in the album?",105,gsm8k,46
math_076,math,"Josh has 85 marbles. There are three times as many blue marbles as red while the rest are yellow. If there are 14 red marbles, how many yellow marbles are there?",29,gsm8k,31
math_077,math,Tonya is in a hamburger eating contest. Each hamburger is 4 ounces. Last year the winner ate 84 ounces. How many hamburgers does she have to eat to beat last year's winner?,22,gsm8k,32
math_078,math,There are 50 goldfish in the pond. Each goldfish eats 1.5 ounces of food per day. 20% of the goldfish need to eat special food that costs $3 an ounce. How much does it cost to feed these fish?,45,gsm8k,39
math_079,math,"A clerk can process 25 forms per hour. If 2400 forms must be processed in an 8-hour day, how many clerks must you hire for that day?",12,gsm8k,27
math_080,math,"The chef has 60 eggs. He puts 10 eggs in the fridge and uses the rest to make cakes. If he used 5 eggs to make one cake, how many cakes did the chef make?",10,gsm8k,35
math_081,math,"Melany has to fence a 5000 feet square field with wire mesh. If one foot of wire mesh is sold at $30, and she had $120000, how many feet of the field will not be fenced?",1000,gsm8k,36
math_082,math,"Harper needs to buy teacher appreciation gifts for her children’s teachers. Her son has 3 different teachers and her daughter has 4. If she spent $70 on gifts, how much did each gift cost?",10,gsm8k,34
math_083,math,Jacob can write twice as fast as Nathan. Nathan wrote 25 letters in one hour. How many letters can the two write in 10 hours together?,750,gsm8k,26
math_084,math,"Laura is hosting a carwash. She will charge $5 for a car, $6 for a truck, and $7 for an SUV. They raised $100 in total. If they washed 5 SUVs and 5 trucks, how many cars did they wash?",7,gsm8k,40
math_085,math,James pays $1000 for advertising. It brought 100 customers to his site and 80% of those bought something at the store that cost $25. How much profit does he gain from the ad?,1000,gsm8k,33
math_086,math,"Erica is telling her grandson about the animals she saw during her recent safari in Kenya's Maasai Mara. On Saturday, she saw 3 lions and 2 elephants. She spotted 2 buffaloes and 5 leopards on Sunday, and 5 rhinos and 3 warthogs on Monday. What is the total number of animals that Erica saw?",20,gsm8k,54
math_087,math,Charles is jogging while listening to his favorite album. He runs at 6 MPH when he's got music on and 4 MPH when he doesn't. His album is 40 minutes long. How many minutes will it take him to jog 6 miles?,70,gsm8k,42
math_088,math,"To make a lasagna Martha needs 1.5kg of cheese and 500 grams of meat. The cheese costs $6 per kilogram, and the meat $8 per kilogram. How much does Martha need to pay for the ingredients?",13,gsm8k,36
math_089,math,"In seven years, Talia will be 20 years old. Talia's mom is currently three times as old as Talia is today. In three years, Talia's father will be the same age as Talia's mom is today. Currently, how many years old is Talia's father?",36,gsm8k,44
math_090,math,John has 3 bedroom doors and two outside doors to replace. The outside doors cost $20 each to replace and the bedroom doors are half that cost. How much does he pay in total?,70,gsm8k,34
math_091,math,"Mr. Ha owns 5 more silver dollars than Mr. Phung. Mr. Phung has 16 more silver dollars than Mr. Chiu has. If Mr. Chiu has 56 silver dollars, how many silver dollars the three have in total?",205,gsm8k,37
math_092,math,"Noah is a painter. He paints pictures and sells them at the park. He charges $60 for a large painting and $30 for a small painting. Last month he sold eight large paintings and four small paintings. If he sold twice as much this month, how much is his sales for this month?",1200,gsm8k,53
math_093,math,James has a rainwater collection barrel. For each inch of rain he collects 15 gallons. On Monday it rained 4 inches and on Tuesday it rained 3 inches. He can sell water for $1.2 per gallon. How much money did he make from selling all the water?,126,gsm8k,47
math_094,math,"Eric sorted 150 colored pencils into 5 containers for his art class. Before class, another teacher brought him 30 more pencils. How many can he evenly distribute between the five containers now?",36,gsm8k,32
math_095,math,"There are 20 sandcastles on Mark's beach, each with 10 towers. On Jeff's beach, there are three times as many castles as on Mark's beach, each with 5 towers. What is the combined total number of sandcastles and towers on Mark's and Jeff's beaches?",580,gsm8k,44
math_096,math,"There are three times as many hogs as cats in King Henry's kingdom. If there are 75 hogs, what's 5 less than 60% of the number of cats in King Henry's kingdom?",10,gsm8k,32
math_097,math,"Mr. Ray has 100 customers waiting at his fish market. He has 10 tuna, each of which weighs 200 pounds. Each customer wants 25 pounds of tuna. Mr. Ray's store is first come, first served. How many customers will go home without any fish?",20,gsm8k,44
math_098,math,"In Fifi's closet, she hangs all of her clothes on colored plastic hangers. She has clothes hanging on 7 pink hangers, 4 green hangers, one less blue hanger than there are green hangers, and one less yellow hanger than there are blue hangers. What is the total number of colored hangers in Fifi's closet?",16,gsm8k,54
math_099,math,"The New York City Council bought 200 streetlights to modernize its squares. But they don't have enough squares to use all the streetlights bought. Knowing that there are 15 squares in New York and that each park will have 12 new streetlights bought by the city council, how many unused streetlights will remain?",20,gsm8k,53
math_100,math,"Laura took six trips to park. On each trip, she spent 2 hours at the park and an additinal 30 minutes walking to and from the park. What percentage of the total time she took for her trips to the park did Laura spend in the park?",80,gsm8k,47
riddle_001,riddle,Im a object that reflect of other object. I am coverd with many gallons of water/iam a coverd with with water. In the dark you would not see it. when its light you will?what am i????????,pond,riddle_sense,36
riddle_002,riddle,"I can fill a room or just one heart. Others can have me, but I can't be shared. What am I?",loneliness,riddle_sense,21
riddle_003,riddle,A doctor gives you three pills and tells you to take one every 30 minutes. How long does it take to run out of pills?,one hour,riddle_sense,25
riddle_004,riddle,I can be simple or I can be complex. I can be found in this riddle or in everyday life. I can be shapes or even colors. What am I?,pattern,riddle_sense,30
riddle_005,riddle,The z page is adifferent twist with capes amsks and sword but the man i speak of goes by another name! (The answer has to start with z!!),zorro,riddle_sense,28
riddle_006,riddle,"Captain Kirk of Star Trek has the usual left ear and right ear, but he also has a third ear. What is his third ear called?",final front ear,riddle_sense,26
riddle_007,riddle,"One day there was a stressed out man. He went inside of the bathroom. He had a real gun and a real bullet and he shot himself between the eyes. There was no blood,he was still alive,and no bullet hole. How is he still alive?",he shot the mirror,riddle_sense,45
riddle_008,riddle,what would the relation be to you if you dads mother son cat mother owners puppys son in laws aunt be to you,your grandma,riddle_sense,23
riddle_009,riddle,People who make them don't use them. People who buy them dont want them. People who use them dont like them. What are they?,baby diapers,riddle_sense,24
riddle_010,riddle,"Fred and Jane are dead on the floor. With them on the floor is shattered glass, a baseball, and water, there is an OPEN window on the wall. What happened?",fred and jane are fish,riddle_sense,30
riddle_011,riddle,"A mile from end to end, Yet as close to you as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short and tall, But shared among children most of all.",simple smile,riddle_sense,42
riddle_012,riddle,"A man is running late for work and forgets to grab his unbrella and raincoat, how does he manage to not get rained on?",it doesnt rain,riddle_sense,24
riddle_013,riddle,"You walk into a room and see a rabbit holding a carrot, a pig eating slop, and a chimpanzee holding a banana. Which is the smartest the smartest animal in the room?",hopefully you,riddle_sense,32
riddle_014,riddle,I have four legs in the morning I have two legs in the mid-day I have and three legs in the evening What am I?,human being,riddle_sense,25
riddle_015,riddle,i am a good girl. i eat all my food and i drink allmy juice. i am to die for what am i?,to die for,riddle_sense,23
riddle_016,riddle,"A dad and his son are driving around, suddenly the car crashes and the dad instinly the son is rushed to the hospital, when the son is in the emergency/operation room the doctor says i can't opeterate on him, he's my son. Who was the doctor?",his mom,riddle_sense,46
riddle_017,riddle,"There is a man that lives on the 48th floor he always take the elevator down to the lobby and eat his lunch. He takes the elevator back up, but he stops at the 27th floor and walk up the stairs to his room. Why is that???",becaues his a midget,riddle_sense,47
riddle_018,riddle,"are you out there mr. fantastic? are you out there mr,clean? are you out there mr. rogers? are you out there mr. bean?'",do not know,riddle_sense,23
riddle_019,riddle,People are hired to get rid of me. I'm often hiding under your bed. In time I'll always return you see. Bite me and you're surely dead. What am I?,dust,riddle_sense,30
riddle_020,riddle,"you take off the outside, then you cook me, then you eat the outside and throw away the inside what am I?",cobb of corn or eggplant,riddle_sense,22
riddle_021,riddle,"If, you were to dig a hole thorugh the Earth and out the other side would you come out feet first or head first?",who knows,riddle_sense,24
riddle_022,riddle,"With the numbers 123456789, make them add up to 100. They must stay in the same order. You can use addition, subtraction, multiplication, and division. Remember, they have to stay in the same order !!!",12345678x9  100,riddle_sense,35
riddle_023,riddle,"If 3 salesmen can sell three cars in seven minutes, how many cars can six salesmen sell in seventy minutes?",60 cars,riddle_sense,20
riddle_024,riddle,"There was a man in a car who was shot with a bullet. There was NO sign of a break in, The windows were up and the doors were locked. How did he die?",his car was a convertable,riddle_sense,34
riddle_025,riddle,you are in a room with no windows no door and no funiture . you dont have any tools either. it was just an empty square room. and yet you manage to get out how?,through the doorway,riddle_sense,35
riddle_026,riddle,there was a bridge that could only hold 70 KG. a man who needed to get over the bridge was 68 KG BUT he had 3 pine apples each weighing 1 KG. how could he get over the bridge?,juggle them,riddle_sense,39
riddle_027,riddle,"A boy and his father/Mr. Smith are driving in a car they get into a acedent Mr. Smith died instantly and the boy was rushed to the hospital and then the docter says ""I cant operate on this boy he is my son. "" Who is the docter?",it was his mother,riddle_sense,48
riddle_028,riddle,"You are awoken at 3 A. M. by a knock on your door. Your parents call you to let you know that they are there for breakfast. You are confused but quickly think of what food you have. You have bread, jam, butter, and eggs. What do you open first?",door for your parents,riddle_sense,50
riddle_029,riddle,There was a man that was all red every thing was red on him but. How is he still blue,he was sad,riddle_sense,20
riddle_030,riddle,"No head has he but he wears a hat. No feet has he but he stands up straight. On him perhaps a fairy sat, weaving a spell one evening late!",toadstool,riddle_sense,30
riddle_031,riddle,one fine day in the middle of the night two dead men got up to fight they turned around to face each other they drew their swords and shot each other whats wrong with this poem ?,you decide whats wrong,riddle_sense,37
riddle_032,riddle,"All about, but cannot be seen, Can be captured, cannot be held, No throat, but can be heard. What is it?",it blows  the wind,riddle_sense,21
riddle_033,riddle,I am used very often to get away from my ememy. These colors make me happy when they help me. Try to find me but you can not even try. what am I?,camouflage,riddle_sense,33
riddle_034,riddle,"There is a person, she sees a homeless man on the side of the road. The person gives the man 5 dollars because he was the persons relative. The homeless person however has no brothers. How can this be?",person is his sister o,riddle_sense,39
riddle_035,riddle,"He starts and ends 2 common English words. One painfull in love, One painfull in everyday matter. Do you know what 2 words I must be?",heartache and headache,riddle_sense,26
riddle_036,riddle,"Two brothers we are, great burdens we bear, all day we are bitterly pressed, yet this must say, we are full all day, and empty when we go to rest.",we are shoes,riddle_sense,30
riddle_037,riddle,"Four men sat down to play. They played all night till break of day. They played for gold and not for fun. With separate scores for everyone. When they had come to square accounts. They all had made quite fair amounts. Can you the paradox explain. If no one lost, how all could gain?",men were musicians ,riddle_sense,54
riddle_038,riddle,While walking down the street I met a man. He tipped his hat and drew his cane and in this riddle I told his name. What is the man's name?,and drew his cane andrew,riddle_sense,30
riddle_039,riddle,"A GIRL A HORSE AND A DOG CAME TO A BRIDGE. THE GIRL RODE HER HORSE ACROSS THE BRIDGE,YET WALKED. HOW IS THIS POSSIBLE?",dogs name is yet,riddle_sense,24
riddle_040,riddle,You want to purchase 3-cent stamps. You're at the post office and waiting in line for your turn. How many 3-cent stamps you will get in a dozen?,12,riddle_sense,28
riddle_041,riddle,"There are two parts of me. The first part is like a pop can, If you do a certain action it makes a mess. The second part Is sharp and thin and is used to pierce flesh. Who or what am I?",shakespeare,riddle_sense,42
riddle_042,riddle,"Once you hear me come from someone you may run, some people may stop breathing, and others may hurt the one who pocesses me. But the one who pocesses me does not mind me at all.",fart hehe,riddle_sense,36
riddle_043,riddle,"i capture things,like animals. Most times i move. I must be put in a perfect spot. I am not alive. you use me until i die. what am i?",digital camera,riddle_sense,29
riddle_044,riddle,I am black of eye and bright of hair. I fast in to the ground and follow my lord as he races around the world. What am I?,im a sunflower,riddle_sense,28
riddle_045,riddle,"How can you see the old woman crossing the street when your driving if the moon is out but the trees are blocking the light,your headlights are broken and not a street light is on?",its daytime,riddle_sense,35
riddle_046,riddle,"There is a submarine that will only operate if there are exactly 20 passengers on the ship. If the first 19 seats were taken by averaged sized men and the last seat was taken by a fat over weighted lady, how come the submarine sank?",submarines are supposed to sink,riddle_sense,45
riddle_047,riddle,"My last half is something that can allow you entrance into a secured area, & I am also a nation. Some people find me mouth watering. What am I?",turkey,riddle_sense,29
riddle_048,riddle,i am a paper with that you get every day or week i come in a paper bin what am i ?,newspaper,riddle_sense,22
riddle_049,riddle,There was a man in the middle of the forest dead. He was sitting perfectly in a chair and his body didnt have any major injuries except for a few scratches and bruises. He wasn't murderd and he didn't kill himself. How did he die?,plane crash d,riddle_sense,45
riddle_050,riddle,How can you draw a square whith a x in the middle and a circle behind it whith out lifting your pencil off your paper?,you cant,riddle_sense,25
riddle_051,riddle,"If there is a Yellow house on Bluebird Lane, a Green house on Orange Street, a Pink house on Kitten Road, a Black house on Hhitehorse Pike and a Purple house on Firebird hill, where's the White house?",washington d c,riddle_sense,38
riddle_052,riddle,"You came to a fork in the road. One path leads to your destination, the other to a cliff 200 km away. There are two people there standing next to a sign. One who tells the truth and the other tells lies. What could you do to make sure you went to your destination?",look at the sign,riddle_sense,54
riddle_053,riddle,"A mother had 2 boys which were twins, they had the same mother and father, but they were not brothers, how duz this work out!?",their 2nd name was not,riddle_sense,25
riddle_054,riddle,I am circular and i get sold. i have a hole in me. but i am not a donut . what am i?,cd,riddle_sense,23
riddle_055,riddle,"In the fathers will, he states that his sons must race their horse, and the son with the slowest horse will receive the fathers entire fortune. The two sons race, but never finish it, as they deliberately slow their horses. After visiting the oracle the sons race horses as fast as possible. What did the oracle tell them?",swap horses,riddle_sense,58
riddle_056,riddle,"Guides travelers, never moves, Always turning, never looks, Always shining, never burns, Looks on blue fields with each of its turns. What is it?",lighthouse compass or buoy,riddle_sense,24
riddle_057,riddle,"I recently came back from a trip. Today is Tuesday, I came back 3 days before the day after the day before tomorrow. When did I return?",sunday,riddle_sense,27
riddle_058,riddle,"You use it between your head and your toes, the more it works the thinner it grows. What is it?",bar of soap,riddle_sense,20
riddle_059,riddle,YOU BREATH ME IN YOU BREATH ME OUT ITS THE ONLY WAY TO BREATHE SO DON'T EVEN POUT. WHAT AM I?,answer is air,riddle_sense,21
riddle_060,riddle,"Ryan wuz braggin bout his skool's hockey team "" In the last game, we managed to win without one man gettin a goal"" . Since the final score was 3 to 1 , how is this possible?",it wuz a gurlz team  ,riddle_sense,37
